Word,Word_Length,Num_Syllables,Part_of_Speech,Etymology1,Etymology2,Etymology3,Etymology4,Etymology5,Etymology6,Etymology7,1996 Round,1996 Error,1997 Round,1997 Error,1998 Round,1998 Error,1999 Round,1999 Error,2000 Round,2000 Error,2001 Round,2001 Error,2002 Round,2002 Error,2003 Round,2003 Error,2004 Round,2004 Error,2005 Round,2005 Error,2006 Round,2006 Error,2007 Round,2007 Error,2008 Round,2008 Error,2009 Round,2009 Error,2010 Round,2010 Error,2011 Round,2011 Error,2012 Round,2012 Error,2013 Round,2013 Error,2014 Round,2014 Error,2015 Round,2015 Error,2016 Round,2016 Error,2017 Round,2017 Error
entrepreneur,12,4,noun,French  , Old French  ,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entresol,8,3,noun,French  ,Spanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,
escamotage,10,4,noun,French  ,Middle French,,,,,,,,,,1,1,,,,,1,0,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,
esclandre,9,3,noun,French  ,Middle French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,,,,,,,,,,,,,,,,,,
esquisse,8,2,noun,French  ,Middle French,Old Italian,,,,,,,,,,,,,,,,,,,,,,,,,14,0,,,,,,,,,,,,,,,,,,,8,0,,
estragon,8,3,noun,French  ,Middle French,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,
exergue,7,2,noun,French  ,New Latin,Greek,,,,,,,,,,,,,,,,,,,,,,,,,8,0,,,,,,,,,,,4,0,,,,,,,,,,
expertise,9,3,noun,French  ,Middle French,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
extincteur,10,3,noun,French  ,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,,,,,,
fanchonette,11,3,noun,French  ,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,
fascine,7,2,noun,French  ,Latin,,,,,,,,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fatigue,7,2,noun,French  , Middle French  ,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,
feuilleton,10,3,noun,French  ,Old French,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,
fiasco,6,3,noun,French  , Italian  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,
fichu,5,2,noun,French  ,Vulgar Latin,Latin,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filasse,7,2,noun,French  ,Old French,Vulgar Latin,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,6,1
flageolet,9,3,noun,French  ,Old French,Vulgar Latin,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,,,,,2,0
fleuron,7,2,noun,French  ,Middle French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,
floraison,9,3,noun,French  ,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,,,,,
fourberie,9,3,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,
friseur,7,2,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,
frison,6,2,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,,,
fuselage,8,3,noun,French  ,Middle French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,2,0,,,,,,
fusillade,9,3,noun,French  ,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,2,0,3,0,2,0,2,0,2,0,,,,,,
galoubet,8,3,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,,,,,,
gaminerie,9,3,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,14,0,,,,,,,,,,,5,0,,,,,,,,,3,0,,,,
gavage,6,2,noun,French  ,Middle French,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gazette,7,2,noun,French  ,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,
genre,5,2,noun,French  ,Middle French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,2,0,2,0,,,,,,,,
germinal,8,3,adjective,French  ,Latin,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giaour,6,1,noun,French  ,Italian,Turkish,Persian,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
gigue,5,1,noun,French  ,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gobemouche,10,3,noun,French  ,Latin,,,,,,,,,,,,,,,,1,0,,,,,,,,,2,0,,,,,,,,,,,3,0,,,,,,,,,,
gourmet,7,2,noun,French  ,Middle French,Middle English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,
grandiose,9,3,adjective,French  ,Italian,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,
graticule,9,3,noun,French  ,Latin,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grenache,8,2,noun,French  , Catalan  ,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,
grenadier,9,3,noun,French  ,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grimace,7,2,noun,French  ,Middle French,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,
grisaille,9,2,noun,French  ,Middle French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,,
grison,6,2,noun,French  ,Middle French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0,,,,,,,,,,,,
grivoiserie,11,4,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,3,1,,,,,,,,,,,,,,
grognard,8,2,noun,French  ,Old French,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,,
guichet,7,2,noun,French  ,Old French,,,,,,,,,,,,,,,,,,,,9,0,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,
guillemet,9,3,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,,,,,,
guillotine,10,3,noun,French  ,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,2,0,2,0,,,,,,
historiette,11,4,noun,French  ,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,3,0,,
hospice,7,2,noun,French  ,Old French,Latin,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
impromptu,9,3,noun,French  ,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,2,0
inconnu,7,3,noun,French  ,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,,
infructescence,14,4,noun,French  ,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,
introuvable,11,4,adjective,French  ,Middle French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,,,,,,,,,,,,,,,,,,
involucre,9,4,noun,French  ,New Latin,,,,,,,,,,,,,,,,1,1,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,
japonaiserie,12,5,noun,French  ,Japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,
jongleur,8,2,noun,French  ,Old French,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,3,1,,,,,,,,,,
labile,6,2,adjective,French  ,Middle French,Late Latin,Latin,,,,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
limitrophe,10,3,adjective,French  ,Late Latin,Latin,,,,,,,,,,,,,,,,,5,1,,,,,2,0,,,,,,,,,3,0,,,,,,,,,,,,,,
lorgnette,9,2,noun,French  ,Middle French,,,,,,,,,,4,0,,,,,1,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
louche,6,1,adjective,French  ,Latin,,,,,,,,,,,,,,,,8,0,,,,,2,0,,,,,,,,,4,0,,,,,,,,,,,,,,,,
luthier,7,3,noun,French  ,Middle French,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,3,0,,,,,,,,
macaque,7,2,noun,French  , Portuguese  ,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,2,0,,
machicotage,11,4,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,,,,,,,,,,,,,3,0,,,,,,,,
majuscule,9,3,noun,French  ,Latin,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,
maladroit,9,2,adjective,French  , Middle French  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,
malaxage,8,2,noun,French  ,Latin,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
malentendu,10,4,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,2,0,,,2,1,,,,,,,,,6,0,,,,,,,,,,,,
manteau,7,2,noun,French  ,Old French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,
marcottage,10,3,noun,French  ,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
marengo,7,3,adjective,French  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,
marotte,7,2,noun,French  ,Middle French,,,,,,,,,,,,7,0,,,,,,,6,1,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,
marouflage,10,3,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,,
massif,6,2,noun,French  ,Middle French,Old French,,,,,,,,,4,0,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mazagran,8,3,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,
menhir,6,2,noun,French  , Breton  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,,,,,,,,,,,,,,,,
merlon,6,2,noun,French  ,Italian,Medieval Latin,Latin,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,
mesclun,7,2,noun,French  , Occitan  ,Old Occitan,Vulgar Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,
microfiche,10,3,noun,French  ,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,
minaret,7,3,noun,French  ,Turkish,Arabic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,3,0,3,0,,,2,0,,,,,,
mitrailleuse,12,3,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,
modiste,7,2,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,
moire,5,1,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,
monocle,7,3,noun,French  ,Late Latin,Latin,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monticule,9,3,noun,French  ,Late Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,
moraine,7,2,noun,French  ,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,2,0,,
mouchoir,8,2,noun,French  ,Vulgar Latin,Latin,,,,,,,,,,,,,,,,,,,,,8,1,,,,,6,1,,,,,,,,,,,,,,,,,,,,
musculature,11,4,noun,French  ,Latin,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mystique,8,2,noun,French  ,Latin,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,2,0,,,2,0,,,,
nacarat,7,3,noun,French  ,Middle French,Old Spanish,Arabic,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0,,,,,,,3,0,,,,,,,,,,
niveau,6,2,noun,French  ,Middle French,,,,,,,,,,,,,,,,7,0,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,2,0
nonchalant,10,3,adjective,French  , Old French  ,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,
nonuple,7,2,adjective,French  , Middle French  ,Latin,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nouveau,7,2,adjective,French  ,Middle French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,
ocelot,6,2,noun,French  , Nahuatl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,3,0,3,0,2,0,2,0,,,,,,
orgeat,6,2,noun,French  , Middle French  ,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0,,,,,,,,,,,,
oubliette,9,3,noun,French  , Middle French  ,Old French,Vulgar Latin,,,,,,,,,,,,,,,,7,0,,,,,,,,,4,1,,,3,0,,,,,3,0,,,,,,,,,,
papillote,9,3,noun,French  ,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parasol,7,3,noun,French  , Old Italian  ,Latin,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parquet,7,2,verb,French  ,Middle French,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,
passerelle,10,2,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,,,,
patas,5,2,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,
paysanne,8,2,adjective,French  ,Middle French,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pelisse,7,2,noun,French  ,Old French,Late Latin,Latin,,,,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,6,0,,,,,,
penchant,8,2,noun,French  ,Vulgar Latin,Latin,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
persienne,9,3,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,4,0,,,5,0,,,,,,,,,,,,,,,,,,,,,,
persiflage,10,3,noun,French  ,Latin,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,,,,,
persifleur,10,3,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,,,8,0,,,,,,,,,,,,,,,,,,,3,0,,,,
persillade,10,3,adjective,French  ,,,,,,,,,,,,,1,0,,,,,,,5,0,,,,,,,,,,,,,,,2,0,,,,,,,,,7,0,,
personnel,9,3,noun,French  , German  ,Medieval Latin,Late Latin,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,
phalarope,9,3,noun,French  ,New Latin,Greek,,,,,,,,,,,,,,,,,,,,,,,,,7,0,,,,,,,,,,,4,1,,,,,,,,,,
piolet,6,3,noun,French  ,Middle French,Old Proven,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,5,0,,,,
piqueur,7,2,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,7,0,,
plaidoyer,9,3,noun,French  ,Old French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,,,,,,,,,,,,,,,,
pochade,7,2,noun,French  ,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,
poilu,5,2,noun,French  ,Middle French,Old French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,
pointillage,11,3,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,2,0
poivrade,8,2,noun,French  , Middle French  ,Latin,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,,5,0,,,,,,,,,,,,,,,,
polatouche,10,3,noun,French  ,Russian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,,,,,,,,,,
politesse,9,3,noun,French  ,Middle French,Old Italian,Latin,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,
pompier,7,2,adjective,French  ,Italian,Spanish,,,,,,,,,,,,,,,,,,,,,,,8,0,,,,,,,,,3,0,,,,,,,,,,,,,,
pourboire,9,2,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,6,0,,,,,,,,,,,,,,,,,,
precipice,9,3,noun,French  , Middle French  ,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,
preux,5,1,adjective,French  ,Old French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0,,,,,,,,,,,,
quadrillage,11,3,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,
quatuor,7,2,noun,French  ,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,
quenelle,8,2,noun,French  , German  , Middle Low German  ,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,
quillon,7,2,noun,French  ,Middle French, Middle Low German  ,Old High German,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,,,,14,0,,
quinzaine,9,2,noun,French  , Middle French  ,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,
raconteur,9,3,noun,French  , Middle French  ,Old French,,,,,,,,,1,0,,,,,,,1,0,,,,,,,2,0,,,,,,,2,0,2,0,3,0,2,0,2,0,,,,,,
railleur,8,2,noun,French  ,Middle French,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,6,0,,,,
rapport,7,2,noun,French  ,Old French,Latin,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,2,0,2,0,2,0,,,2,0,,,,,,
rapprochement,13,3,noun,French  ,Middle French,Old French,Late Latin,,,,,,,,,,,,,,1,0,,,,,,,,,2,1,,,,,,,,,8,0,,,,,,,,,,,,
rascette,8,2,noun,French  ,Medieval Latin,,,,,,,,,,,,,,1,1,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ravigote,8,3,noun,French  ,Middle French,Latin,,,,,,,,,1,1,,,,,1,1,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,2,1,,
rayonnant,9,3,adjective,French  ,Middle French,,,,,,,,,,,,6,1,,,,,,,,,2,1,,,,,4,0,,,,,,,,,3,0,,,,,,,,,,
redoppe,7,2,noun,French  ,Italian,Latin,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,,,,,
renaissance,11,3,noun,French  ,Middle French, Old French  ,Latin,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,,,,,,
repoussage,10,3,noun,French  ,,,,,,,,,,,,,,,,,,,9,0,,,,,2,0,,,,,,,,,,,,,,,3,0,,,,,,,,
restauratrice,13,4,noun,French  ,Late Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,
revanche,8,2,noun,French  ,Middle French,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
revenant,8,3,noun,French  ,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,
rideau,6,2,noun,French  ,Middle French,Middle English,,,,,,,,,,,,,,,,,,,,,,,7,0,,,,,,,,,,,,,,,,,,,,,,,,
rondache,8,2,noun,French  ,Middle French,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
roquelaure,10,3,noun,French  ,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rorqual,7,2,noun,French  ,Norwegian,Old Norse,,,,,,,,,,,,,1,0,,,,,,,2,1,,,,,,,,,,,,,,,,,,,3,0,,,,,,
rouge,5,1,noun,French  , Middle French  ,Latin,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rougeot,7,2,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,,,,,,,,,,,,
roux,4,1,noun,French  ,,,,,,,,,,,7,1,,,,,,,,,,,,,2,0,,,,,2,1,,,,,,,,,,,,,,,,,2,0
ruse,4,2,noun,French  ,Old French,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sabotage,8,3,noun,French  ,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sangsue,7,2,noun,French  ,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,,,,,,,,,,,,
sapajou,7,3,noun,French  , Tupi,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,3,0,,,,,,,,,,,,,,
sautoir,7,2,noun,French  ,Middle French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,
semainier,9,3,noun,French  ,Late Latin,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,11,0,,,,,,,,
serf,4,1,noun,French  , Old French  ,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,
serval,6,2,noun,French  , Portuguese  ,Medieval Latin,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siffleur,8,2,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,
silhouette,10,3,noun,French  ,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
singerie,8,3,noun,French  ,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,,,,,,,,
soliste,7,2,noun,French  ,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,,,
sommelier,9,3,noun,French  ,Middle French, Old French  ,Medieval Latin,Late Latin,,,,,,,,,,,,,,,,,,,,,7,0,,,,,,,3,1,,,,,,,,,,,,,2,0,,
sortie,6,2,noun,French  , Middle French  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,
soubise,7,2,noun,French  ,,,,,,,,,,,1,0,,,,,,,1,1,,,,,,,,,5,0,,,,,,,,,,,,,,,,,,,,
soutache,8,2,noun,French  ,Hungarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,,,,,,,,,,,,,,,,,,
surtout,7,2,noun,French  ,Latin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,,,,,,,,
surveillance,12,3,noun,French  ,Old French,Latin,,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,2,0,3,0,2,0,2,0,2,0,,,,,,
suzerain,8,3,noun,French  ,Middle French,Latin,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
syndic,6,2,noun,French  ,Late Latin,Greek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,
tapissier,9,3,noun,French  , Old French  ,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,
tendu,5,2,adjective,French  ,Middle French,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
thonnier,8,2,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,,,,,,,,
tinamou,7,3,noun,French  , Carib ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,
torsade,7,2,noun,French  ,Old French,Vulgar Latin,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,
tourelle,8,2,noun,French  ,Old French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,2,0,,
tournasin,9,3,noun,French  ,Old French,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,
tournedos,9,3,noun,French  ,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,7,0,,,,,,,,
traiteur,8,2,noun,French  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,
transhumance,12,3,noun,French  ,Spanish,Latin,,,,,,,,,,,,,4,1,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,3,0
triste,6,1,adjective,French  , Old French  ,Latin,,,,,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
troupe,6,1,noun,French  ,Middle French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,
trousseau,9,2,noun,French  ,Old French,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trouvaille,10,2,noun,French  ,Old French,,,,,,,,,,,,,,,,,,,,,,,,18,1,,,,,,,,,,,,,,,,,,,3,1,,,,
Tudesque,8,2,adjective,French  ,Spanish,,,,,,,,,,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
urticant,8,3,adjective,French  ,Medieval Latin,,,,,,,,,,1,0,,,,,4,0,,,,,2,0,,,,,,,,,,,,,3,0,,,,,,,,,,,,
vacherin,8,3,noun,French  ,Middle French,Medieval Latin,Latin,,,,,,,,,,,,,,,,,,1,1,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,
